Nombre,26.2 Reps,26.2 Tiempo,26.2 Progresión,26.3,Puntos 26.2
Daniel Tamayo,117,15:00,BMU,,7
Kevin Gutierrez,115,15:00,BMU Cajón,,8
Juan Pablo Angulo,120,15:00,Pull Up,,6
Daniel Velez,132,14:55,BMU,,1
Alberto Rivera,,,,,9
Frank Pemberthy,,,,,9
Juan Bernardo,,,,,9
Juan Felipe Lopez,,,,,9
Mateo Ortiz,,,,,9
Diego Prieto,124,15:00,Pull Up,,5
Jhon Alexander,132,14:50,Pull Up,,4
Daniel Pardo,91,15:00,Pull Up,,8
Felipe Villa,132,13:45,Pull Up,,3
Diego Hernandez,132,11:58,Pull Up,,2
